2012 HDI Rank,Name,Country Code,2012 Population,2030 Population,2000/2005 Annual Population Growth,2010/2015 Annual Population Growth,2000 Urban Population,2012 Urban Population,2000 Median Age,2010 Median Age
150,Cameroon,CMR,20.5,28.8,2.3,2.1,45.5,52.7,18.2,19.3
151,Madagascar,MDG,21.9,35.3,3,2.8,27.1,33.2,17.4,18.2
152,Tanzania (United Republic of),TZA,47.7,81.9,2.6,3.1,22.3,27.2,17.4,17.5
153,Nigeria,NGA,166.6,257.8,2.5,2.5,42.4,50.3,18.1,18.5
154,Senegal,SEN,13.1,20,2.7,2.6,40.3,42.8,17,17.8
155,Mauritania,MRT,3.6,5.2,2.8,2.2,40,41.7,18.4,19.8
156,Papua New Guinea,PNG,7.2,10.2,2.5,2.2,13.2,12.5,19.6,20.4
157,Nepal,NPL,31,39.9,2.2,1.7,13.4,17.3,19.2,21.4
158,Lesotho,LSO,2.2,2.6,1,1,20,28.3,18.6,20.3
159,Togo,TGO,6.3,8.7,2.4,2,32.9,38.5,18,19.7
160,Yemen,YEM,25.6,41.3,3.1,3,26.3,32.9,15.5,17.4
161,Haiti,HTI,10.3,12.5,1.6,1.3,35.6,54.8,19.1,21.5
161,Uganda,UGA,35.6,59.8,3.2,3.1,12.1,16,15.6,15.7
163,Zambia,ZMB,13.9,24.5,2.3,3,34.8,39.6,17.1,16.7
164,Djibouti,DJI,0.9,1.3,2,1.9,76.5,77.1,18.9,21.4
165,Gambia,GMB,1.8,2.8,3,2.7,48.8,57.9,16.9,17.8
166,Benin,BEN,9.4,14.6,3.2,2.7,38.3,45.6,17.1,17.9
167,Rwanda,RWA,11.3,17.6,2.6,2.9,13.8,19.4,16.9,18.7
168,Côte d'Ivoire,CIV,20.6,29.8,1.7,2.2,43.5,52,18.7,19.2
169,Comoros,COM,0.8,1.2,2.7,2.5,28.1,28.1,18.5,18.9
170,Malawi,MWI,15.9,28.2,2.7,3.2,14.6,15.8,17,16.9
171,Sudan,SDN,35,50.8,2.3,2.4,32.5,33.3,18.6,19.7
172,Zimbabwe,ZWE,13,17.6,0.1,2.2,33.8,39.1,18.2,19.3
173,Ethiopia,ETH,86.5,118.5,2.5,2.1,14.7,17.2,17,18.7
174,Liberia,LBR,4.2,6.5,2.2,2.6,44.3,48.5,17.9,18.2
175,Afghanistan,AFG,33.4,53.3,3.8,3.1,20.6,23.8,15.9,16.6
176,Guinea-Bissau,GNB,1.6,2.3,2,2.1,35.9,44.6,18.2,19
177,Sierra Leone,SLE,6.1,8.5,4.4,2.1,35.8,39.6,18.5,18.4
178,Burundi,BDI,8.7,11.4,2.6,1.9,8.2,11.2,16.7,20.2
178,Guinea,GIN,10.5,15.9,1.6,2.5,31,35.9,17.7,18.3
180,Central African Republic,CAF,4.6,6.4,1.6,2,37.6,39.3,18.7,19.4
181,Eritrea,ERI,5.6,8.4,4,2.9,17.6,21.8,17.1,19
182,Mali,MLI,16.3,26.8,3.1,3,28.1,35.6,16.3,16.3
183,Burkina Faso,BFA,17.5,29.1,2.9,3,17.8,27.4,16.5,17.1
184,Chad,TCD,11.8,18.4,3.5,2.6,21.5,21.9,16.9,17.1
185,Mozambique,MOZ,24.5,35.9,2.6,2.2,29.1,31.4,17.9,17.8
186,Congo (Democratic Republic of the),COD,69.6,106,2.9,2.6,29.3,34.8,16,16.7
186,Niger,NER,16.6,30.8,3.5,3.5,16.2,18.1,15.8,15.5
,Korea (Democratic People's Rep. of),PRK,24.6,26.2,0.7,0.4,59.4,60.4,29.9,32.9
,Marshall Islands,MHL,0.1,0.1,0,1.6,68.4,72.2,..,..
,Monaco,MCO,0,0,0.1,0,100,100,..,..
,Nauru,NRU,0,0,0.1,0.6,100,100,..,..
,San Marino,SMR,0,0,2.3,0.6,93.4,94.1,..,..
,Somalia,SOM,9.8,16.4,2.4,2.6,33.2,38.2,18,17.5
,South Sudan,SSD,10.7,16.1,2.8,3.2,16.5,18.2,..,..
,Tuvalu,TUV,0,0,0.6,0.2,46,51,..,..
,Very high human development,,1134.3,1216.9,0.7,0.5,77,81.2,36.8,39.3
,High human development,,1039.2,1150.1,0.9,0.8,70.1,74.1,27.6,30.4
,Medium human development,,3520.5,4017.4,1.2,1,34.8,43.7,25.6,28.9
,Low human development,,1280.7,1845.3,2.3,2.2,28.6,33.6,18.4,19.8
,Arab States,,357.3,480.8,2.2,2,53.2,57.2,20.6,23.3
,East Asia and the Pacific,,1991.4,2135.3,0.8,0.6,36.7,49.7,28.1,32.3
,Europe and Central Asia,,481.6,491.3,0,0.2,63.2,64.8,32.9,34.9
,Latin America and the Caribbean,,597.7,696,1.3,1.1,75.3,79.3,24.4,27.5
,South Asia,,1753,2141.8,1.6,1.4,29,32.9,22,24.6
,Sub-Saharan Africa,,852.5,1284,2.5,2.5,32,37,17.8,18.5
,Least developed countries,,870.4,1256.8,2.2,2.2,24.3,28.9,18.3,19.7
,SIDS,,53.8,63.8,1.3,1.1,48.2,52.6,24,26.6
,World,,7052.1,8321.3,1.2,1.2,46.7,52.6,26.7,29.2
