"Country or Area","Year(s)","Variant","Value"
"World","2083","Low","8089362.658"
"World","2083","Constant fertility","18152669.437"
"World","2083","Instant replacement","10053416.987"
"World","2083","Zero migration","10902842.067"
"World","2083","Constant mortality","9095925.531"
"World","2083","No change","14872202.645"
"World","2083","Momentum","9051816.615"
"World","2082","Medium","10894298.619"
"World","2082","High","14322419.334"
"World","2082","Low","8130398.268"
"World","2082","Constant fertility","17804035.505"
"World","2082","Instant replacement","10038920.661"
"World","2082","Zero migration","10881439.196"
"World","2082","Constant mortality","9114882.256"
"World","2082","No change","14658601.460"
"World","2082","Momentum","9052903.218"
"World","2081","Medium","10871858.040"
"World","2081","High","14204954.700"
"World","2081","Low","8170384.949"
"World","2081","Constant fertility","17467025.368"
"World","2081","Instant replacement","10024317.594"
"World","2081","Zero migration","10859362.220"
"World","2081","Constant mortality","9133004.395"
"World","2081","No change","14451303.357"
"World","2081","Momentum","9054061.468"
"World","2080","Medium","10848708.184"
"World","2080","High","14088280.438"
"World","2080","Low","8209264.662"
"World","2080","Constant fertility","17141211.002"
"World","2080","Instant replacement","10009570.328"
"World","2080","Zero migration","10836591.420"
"World","2080","Constant mortality","9150306.069"
"World","2080","No change","14250152.015"
"World","2080","Momentum","9055302.821"
"World","2079","Medium","10824840.805"
"World","2079","High","13972413.932"
"World","2079","Low","8247000.785"
"World","2079","Constant fertility","16826180.977"
"World","2079","Instant replacement","9994649.799"
"World","2079","Zero migration","10813118.105"
"World","2079","Constant mortality","9166782.152"
"World","2079","No change","14054976.058"
"World","2079","Momentum","9056617.721"
"World","2078","Medium","10800248.725"
"World","2078","High","13857362.008"
"World","2078","Low","8283563.460"
"World","2078","Constant fertility","16521538.303"
"World","2078","Instant replacement","9979521.073"
"World","2078","Zero migration","10788934.897"
"World","2078","Constant mortality","9182421.010"
"World","2078","No change","13865600.084"
"World","2078","Momentum","9057980.935"
"World","2077","Medium","10774916.274"
"World","2077","High","13743132.581"
"World","2077","Low","8318911.232"
"World","2077","Constant fertility","16226897.327"
"World","2077","Instant replacement","9964132.145"
"World","2077","Zero migration","10764024.731"
"World","2077","Constant mortality","9197220.988"
"World","2077","No change","13681859.690"
"World","2077","Momentum","9059365.905"
"World","2076","Medium","10748825.986"
"World","2076","High","13629727.693"
"World","2076","Low","8353003.292"
"World","2076","Constant fertility","15941885.513"
"World","2076","Instant replacement","9948424.722"
"World","2076","Zero migration","10738369.137"
"World","2076","Constant mortality","9211179.685"
"World","2076","No change","13503592.416"
"World","2076","Momentum","9060738.156"
"World","2075","Medium","10721963.763"
"World","2075","High","13517141.317"
"World","2075","Low","8385806.721"
"World","2075","Constant fertility","15666142.825"
"World","2075","Instant replacement","9932345.585"
"World","2075","Zero migration","10711952.310"
"World","2075","Constant mortality","9224289.351"
"World","2075","No change","13330634.591"
"World","2075","Momentum","9062059.270"
"World","2074","Medium","10694316.774"
"World","2074","High","13405362.275"
"World","2074","Low","8417292.417"
"World","2074","Constant fertility","15399314.937"
"World","2074","Instant replacement","9915855.349"
"World","2074","Zero migration","10684760.437"
"World","2074","Constant mortality","9236536.644"
"World","2074","No change","13162822.666"
"World","2074","Momentum","9063297.979"
"World","2073","Medium","10665879.012"
"World","2073","High","13294366.937"
"World","2073","Low","8447446.384"
"World","2073","Constant fertility","15141063.636"
"World","2073","Instant replacement","9898920.722"
"World","2073","Zero migration","10656786.344"
"World","2073","Constant mortality","9247900.823"
"World","2073","No change","12999989.371"
"World","2073","Momentum","9064413.332"
"World","2072","Medium","10636651.714"
"World","2072","High","13184116.031"
"World","2072","Low","8476271.611"
"World","2072","Constant fertility","14891073.442"
"World","2072","Instant replacement","9881504.068"
"World","2072","Zero migration","10628029.159"
"World","2072","Constant mortality","9258356.219"
"World","2072","No change","12841963.100"
"World","2072","Momentum","9065341.496"
"World","2071","Medium","10606640.450"
"World","2071","High","13074559.236"
"World","2071","Low","8503782.543"
"World","2071","Constant fertility","14649044.433"
"World","2071","Instant replacement","9863568.789"
"World","2071","Zero migration","10598493.007"
"World","2071","Constant mortality","9267871.593"
"World","2071","No change","12688570.313"
"World","2071","Momentum","9066008.486"
"World","2070","Medium","10575846.551"
"World","2070","High","12965645.028"
"World","2070","Low","8529987.886"
"World","2070","Constant fertility","14414682.503"
"World","2070","Instant replacement","9845080.071"
"World","2070","Zero migration","10568177.045"
"World","2070","Constant mortality","9276414.916"
"World","2070","No change","12539641.074"
"World","2070","Momentum","9066345.055"
"World","2069","Medium","10544259.435"
"World","2069","High","12857342.121"
"World","2069","Low","8554870.376"
"World","2069","Constant fertility","14187687.439"
"World","2069","Instant replacement","9826003.081"
"World","2069","Zero migration","10537069.441"
"World","2069","Constant mortality","9283957.844"
"World","2069","No change","12395012.795"
"World","2069","Momentum","9066302.064"
"World","2068","Medium","10511866.504"
"World","2068","High","12749606.345"
"World","2068","Low","8578415.092"
"World","2068","Constant fertility","13967768.220"
"World","2068","Instant replacement","9806304.980"
"World","2068","Zero migration","10505155.501"
"World","2068","Constant mortality","9290469.947"
"World","2068","No change","12254526.942"
"World","2068","Momentum","9065832.408"
"World","2067","Medium","10478663.350"
"World","2067","High","12642357.013"
"World","2067","Low","8600636.493"
"World","2067","Constant fertility","13754660.897"
"World","2067","Instant replacement","9785954.150"
"World","2067","Zero migration","10472428.042"
"World","2067","Constant mortality","9295912.458"
"World","2067","No change","12118022.383"
"World","2067","Momentum","9064870.148"
"World","2066","Medium","10444646.732"
"World","2066","High","12535499.137"
"World","2066","Low","8621556.610"
"World","2066","Constant fertility","13548114.190"
"World","2066","Instant replacement","9764920.770"
"World","2066","Zero migration","10438880.524"
"World","2066","Constant mortality","9300243.073"
"World","2066","No change","11985339.953"
"World","2066","Momentum","9063346.828"
"World","2065","Medium","10409808.296"
"World","2065","High","12428951.732"
"World","2065","Low","8641184.048"
"World","2065","Constant fertility","13347878.462"
"World","2065","Instant replacement","9743175.794"
"World","2065","Zero migration","10404502.186"
"World","2065","Constant mortality","9303419.864"
"World","2065","No change","11856322.138"
"World","2065","Momentum","9061199.045"
"World","2064","Medium","10374134.682"
"World","2064","High","12322677.548"
"World","2064","Low","8659499.256"
"World","2064","Constant fertility","13153699.548"
"World","2064","Instant replacement","9720688.732"
"World","2064","Zero migration","10369277.837"
"World","2064","Constant mortality","9305404.351"
"World","2064","No change","11730815.357"
"World","2064","Momentum","9058373.478"
"World","2063","Medium","10337605.232"
"World","2063","High","12216646.447"
"World","2063","Low","8676468.662"
"World","2063","Constant fertility","12965322.628"
"World","2063","Instant replacement","9697432.059"
"World","2063","Zero migration","10333185.222"
"World","2063","Constant mortality","9306157.630"
"World","2063","No change","11608667.419"
"World","2063","Momentum","9054825.492"
"World","2062","Medium","10300193.299"
"World","2062","High","12110794.542"
"World","2062","Low","8692065.777"
"World","2062","Constant fertility","12782502.010"
"World","2062","Instant replacement","9673383.924"
"World","2062","Zero migration","10296195.799"
"World","2062","Constant mortality","9305634.105"
"World","2062","No change","11489725.482"
"World","2062","Momentum","9050513.914"
"World","2061","Medium","10261867.905"
"World","2061","High","12005055.751"
"World","2061","Low","8706258.714"
"World","2061","Constant fertility","12604996.932"
"World","2061","Instant replacement","9648525.222"
"World","2061","Zero migration","10258276.320"
"World","2061","Constant mortality","9303785.644"
"World","2061","No change","11373838.207"
"World","2061","Momentum","9045402.168"
"World","2060","Medium","10222598.469"
"World","2060","High","11899382.361"
"World","2060","Low","8719007.601"
"World","2060","Constant fertility","12432573.420"
"World","2060","Instant replacement","9622835.011"
"World","2060","Zero migration","10219394.970"
"World","2060","Constant mortality","9300565.274"
"World","2060","No change","11260856.941"
"World","2060","Momentum","9039452.543"
"World","2059","Medium","10182370.369"
"World","2059","High","11793759.211"
"World","2059","Low","8730280.782"
"World","2059","Constant fertility","12265009.546"
"World","2059","Instant replacement","9596293.710"
"World","2059","Zero migration","10179535.649"
"World","2059","Constant mortality","9295936.569"
"World","2059","No change","11150639.156"
"World","2059","Momentum","9032624.404"
"World","2058","Medium","10141161.411"
"World","2058","High","11688193.044"
"World","2058","Low","8740024.486"
"World","2058","Constant fertility","12102088.301"
"World","2058","Instant replacement","9568874.895"
"World","2058","Zero migration","10138675.618"
"World","2058","Constant mortality","9289858.578"
"World","2058","No change","11043044.279"
"World","2058","Momentum","9024874.377"
"World","2057","Medium","10098925.718"
"World","2057","High","11582693.995"
"World","2057","Low","8748148.455"
"World","2057","Constant fertility","11943593.178"
"World","2057","Instant replacement","9540543.875"
"World","2057","Zero migration","10096768.102"
"World","2057","Constant mortality","9282275.689"
"World","2057","No change","10937931.873"
"World","2057","Momentum","9016160.922"
"World","2056","Medium","10055609.539"
"World","2056","High","11477284.549"
"World","2056","Low","8754544.538"
"World","2056","Constant fertility","11789312.464"
"World","2056","Instant replacement","9511261.677"
"World","2056","Zero migration","10053759.264"
"World","2056","Constant mortality","9273127.250"
"World","2056","No change","10835162.695"
"World","2056","Momentum","9006442.725"
"World","2055","Medium","10011171.422"
"World","2055","High","11371996.809"
"World","2055","Low","8759118.425"
"World","2055","Constant fertility","11639044.044"
"World","2055","Instant replacement","9480996.445"
"World","2055","Zero migration","10009607.176"
"World","2055","Constant mortality","9262361.537"
"World","2055","No change","10734601.937"
"World","2055","Momentum","8995680.873"
"World","2054","Medium","9965591.995"
"World","2054","High","11266838.080"
"World","2054","Low","8761823.238"
"World","2054","Constant fertility","11492595.959"
"World","2054","Instant replacement","9449721.584"
"World","2054","Zero migration","9964292.583"
"World","2054","Constant mortality","9249943.244"
"World","2054","No change","10636120.920"
"World","2054","Momentum","8983832.180"
"World","2053","Medium","9918868.234"
"World","2053","High","11161849.515"
"World","2053","Low","8762618.408"
"World","2053","Constant fertility","11349788.133"
"World","2053","Instant replacement","9417425.022"
"World","2053","Zero migration","9917812.501"
"World","2053","Constant mortality","9235847.420"
"World","2053","No change","10539593.886"
"World","2053","Momentum","8970862.664"
"World","2052","Medium","9870996.143"
"World","2052","High","11057142.049"
"World","2052","Low","8761425.059"
"World","2052","Constant fertility","11210448.273"
"World","2052","Instant replacement","9384108.133"
"World","2052","Zero migration","9870163.924"
"World","2052","Constant mortality","9220047.473"
"World","2052","No change","10444893.818"
"World","2052","Momentum","8956754.535"
"World","2051","Medium","9821979.204"
"World","2051","High","10952856.871"
"World","2051","Low","8758158.733"
"World","2051","Constant fertility","11074413.613"
"World","2051","Instant replacement","9349780.842"
"World","2051","Zero migration","9821351.369"
"World","2051","Constant mortality","9202521.756"
